mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
jul.-10,"11,53","55,5716129","26,56322581","33,82709677","95,23","76,69903226","26,28612903","35,13483871",,
ago.-10,"35,03","49,23064516","26,94387097","32,66096774","42,88","74,74741935","25,67258065","34,04774194",,
set.-10,"38,58","48,38166667","27,14533333","32,804","31,51","71,72033333","26,03033333","33,79966667",,
out.-10,"40,93","47,94548387","29,1083871","34,58096774","10,06","70,28193548","27,10870968","34,72741935",,
nov.-10,"2,26","43,79966667","29,92533333","34,57966667","1,88","68,69366667","27,47266667","34,74266667",,
dez.-10,"74,18","58,88032258","27,90677419","35,59645161","37,69","72,16677419","27,41774194","35,44419355",,
jan.-11,"238,65","69,81193548","26,42387097","35,25774194","229,09","78,52","26,84612903","35,53903226",,
fev.-11,"241,05","80,17535714","25,2825","35,2625","147,39","78,64357143","27,17571429","35,365",,
mar.-11,"106,7","82,93516129","25,17774194","34,82193548","119,45","79,80806452","27,26967742","35,57",,
abr.-11,"227,37","84,3","24,87333333","35,14433333","257,59","83,20733333","26,85033333","36,089",,
mai.-11,"148,28","85,97967742","24,37870968","34,96645161","264,79","85,86451613","26,48903226","36,24354839",,
jun.-11,"28,38","78,83166667","24,15833333","33,77066667","198,09","84,465","25,89966667","35,586",,
jul.-11,"22,55","68,13387097","24,79193548","33,88","162,16","83,13483871","25,31129032","35,00129032",,
